tool,formula,variables,formula_id,output,time
all,G(p1|!p3),#r#s#p#q,0,SAT,no-time
SPIN_v651,[](((s) || (!q))),#r#s#p#q,0,SAT,-1.0
NUSMV_v260,G(((s) | (!q))),#r#s#p#q,0,SAT,0.03
all,(G(!p2|Fp3)&G(!p0|G!p1)),#r#s#p#q,1,SAT,no-time
SPIN_v651,(([](((!r) || ([](!s))))) && ([](((!p) || (<>(q)))))),#r#s#p#q,1,SAT,0.03
NUSMV_v260,((G(((!r) | (G(!s))))) & (G(((!p) | (F(q)))))),#r#s#p#q,1,SAT,0.03
all,(G(!p2|Fp3)&G(!p0|G!p1)&G(p1|!p3)),#r#s#p#q,2,SAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (<>(q)))))),#r#s#p#q,2,SAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (F(q)))))),#r#s#p#q,2,SAT,0.03
all,G(p1|!p3),#r#s#p#q,3,SAT,no-time
SPIN_v651,[](((s) || (!q))),#r#s#p#q,3,SAT,0.03
NUSMV_v260,G(((s) | (!q))),#r#s#p#q,3,SAT,0.03
all,(G(!p2|Fp3)&G(!p0|(!p2&G!p1))),#r#s#p#q,4,SAT,no-time
SPIN_v651,(([](((!p) || (<>(q))))) && ([](((!r) || (((!p) && ([](!s)))))))),#r#s#p#q,4,SAT,0.03
NUSMV_v260,((G(((!p) | (F(q))))) & (G(((!r) | (((!p) & (G(!s)))))))),#r#s#p#q,4,SAT,0.03
all,(G(!p2|Fp3)&G(!p0|(!p2&G!p1))&G(p1|!p3)),#r#s#p#q,5,SAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && ([](((!r) || (((!p) && ([](!s)))))))),#r#s#p#q,5,SAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (G(((!r) | (((!p) & (G(!s)))))))),#r#s#p#q,5,SAT,0.03
all,(G(!p2|Fp3)&G(p1|!p3)&G(!p0|(!p2&G!p1))&((Fp2&p0)|GF(p0&Fp1))),#r#s#p#q,6,UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && ([](((!r) || (((!p) && ([](!s))))))) && (((((r) && (<>(p)))) || ([](<>(((r) && (<>(s))))))))),#r#s#p#q,6,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (G(((!r) | (((!p) & (G(!s))))))) & (((((r) & (F(p)))) | (G(F(((r) & (F(s))))))))),#r#s#p#q,6,UNSAT,0.03
all,(G(!p2|Fp3)&G(p1|!p3)&G(!p0|(!p2&G!p1))&((p0&Fp1)|F(p0&Xp2))),#r#s#p#q,7,UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((((r) && (<>(s)))) || (<>(((r) && (X(p))))))) && ([](((!r) || (((!p) && ([](!s)))))))),#r#s#p#q,7,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((((r) & (F(s)))) | (F(((r) & (X(p))))))) & (G(((!r) | (((!p) & (G(!s)))))))),#r#s#p#q,7,UNSAT,0.03
all,(G(!p2|Fp3)&G(p1|!p3)&G(!p0|(!p2&G!p1))&(F(p0&Fp1)WF(p2&G!p3))),#r#s#p#q,8,UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && ([](((!r) || (((!p) && ([](!s))))))) && (((<>(((p) && ([](!q))))) || ([](<>(((r) && (<>(s))))))))),#r#s#p#q,8,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (G(((!r) | (((!p) & (G(!s))))))) & (((F(((p) & (G(!q))))) | (G(F(((r) & (F(s))))))))),#r#s#p#q,8,UNSAT,0.03
all,(X((p0&Fp1)|F(p0&Xp2))&G(!p2|Fp3)&G(p1|!p3)&G(!p0|(!p2&G!p1))),#r#s#p#q,9,UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && ([](((!r) || (((!p) && ([](!s))))))) && (X(((((r) && (<>(s)))) || (<>(((r) && (X(p))))))))),#r#s#p#q,9,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (G(((!r) | (((!p) & (G(!s))))))) & (X(((((r) & (F(s)))) | (F(((r) & (X(p))))))))),#r#s#p#q,9,UNSAT,0.03
all,(G(!p2|Fp3)&(X(p2&G!p3)U((p2&G!p1)|F(p0&Fp1)))&G(p1|!p3)&G(!p0|(!p2&G!p1))),#r#s#p#q,10,UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && ([](((!r) || (((!p) && ([](!s))))))) && (((X(((p) && ([](!q))))) U (((((p) && ([](!s)))) || (<>(((r) && (<>(s)))))))))),#r#s#p#q,10,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (G(((!r) | (((!p) & (G(!s))))))) & (((X(((p) & (G(!q))))) U (((((p) & (G(!s)))) | (F(((r) & (F(s)))))))))),#r#s#p#q,10,UNSAT,0.04
all,(G(!p2|Fp3)&X((p2&G!p1)|(GFp1&Gp0))&G(p1|!p3)&G(!p0|(!p2&G!p1))),#r#s#p#q,11,UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && ([](((!r) || (((!p) && ([](!s))))))) && (X(((((p) && ([](!s)))) || ((([](r)) && ([](<>(s))))))))),#r#s#p#q,11,UNSAT,0.04
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (G(((!r) | (((!p) & (G(!s))))))) & (X(((((p) & (G(!s)))) | (((G(r)) & (G(F(s))))))))),#r#s#p#q,11,UNSAT,0.04
all,(G(!p2|Fp3)&G(p1|!p3)&G(!p0|(!p2&G!p1))&(F(p2&Gp0)|FG((p0&Fp1)|F(p0&Xp2)))),#r#s#p#q,12,DIFF,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && ([](((!r) || (((!p) && ([](!s))))))) && (((<>(((p) && ([](r))))) || (<>([](((((r) && (<>(s)))) || (<>(((r) && (X(p)))))))))))),#r#s#p#q,12,TIMEOUT,300.0
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (G(((!r) | (((!p) & (G(!s))))))) & (((F(((p) & (G(r))))) | (F(G(((((r) & (F(s)))) | (F(((r) & (X(p)))))))))))),#r#s#p#q,12,UNSAT,0.03
all,(G(!p2|Fp3)&(F(p0&p2)|(p0&FGp1&Fp1))&G(p1|!p3)&G(!p0|(!p2&G!p1))),#r#s#p#q,13,UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((<>(((r) && (p)))) || (((r) && (<>(s)) && (<>([](s))))))) && ([](((!r) || (((!p) && ([](!s)))))))),#r#s#p#q,13,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((F(((r) & (p)))) | (((r) & (F(s)) & (F(G(s))))))) & (G(((!r) | (((!p) & (G(!s)))))))),#r#s#p#q,13,UNSAT,0.03
all,(G(!p2|Fp3)&G(p1|!p3)&(F(Fp2&p0)WXF(p0&Fp1))&G(!p0|(!p2&G!p1))),#r#s#p#q,14,DIFF,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && ([](((!r) || (((!p) && ([](!s))))))) && ((([](<>(((r) && (<>(p)))))) || (((<>(((r) && (<>(p))))) U (X(<>(((r) && (<>(s))))))))))),#r#s#p#q,14,TIMEOUT,300.0
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (G(((!r) | (((!p) & (G(!s))))))) & (((G(F(((r) & (F(p)))))) | (((F(((r) & (F(p))))) U (X(F(((r) & (F(s))))))))))),#r#s#p#q,14,UNSAT,0.03
all,(G(!p2|Fp3)&(F(p0&p2)|(p0&F!p1&Fp1))&G(p1|!p3)&G(!p0|(!p2&G!p1))),#r#s#p#q,15,UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && (((((r) && (<>(s)) && (<>(!s)))) || (<>(((r) && (p)))))) && ([](((!p) || (<>(q))))) && ([](((!r) || (((!p) && ([](!s)))))))),#r#s#p#q,15,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (((((r) & (F(s)) & (F(!s)))) | (F(((r) & (p)))))) & (G(((!p) | (F(q))))) & (G(((!r) | (((!p) & (G(!s)))))))),#r#s#p#q,15,UNSAT,0.03
all,(G(!p2|Fp3)&(((p0&Xp1)W(G!p3&G(p2|G!p3)&p2))WGF(p0&p2))&G(p1|!p3)&G(!p0|(!p2&G!p1))),#r#s#p#q,16,DIFF,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && ([](((!r) || (((!p) && ([](!s))))))) && ((([]((((([](r)) && ([](X(s))))) || (((((r) && (X(s)))) U (((p) && ([](!q)) && ([](((p) || ([](!q)))))))))))) || ((((((([](r)) && ([](X(s))))) || (((((r) && (X(s)))) U (((p) && ([](!q)) && ([](((p) || ([](!q))))))))))) U ([](<>(((r) && (p)))))))))),#r#s#p#q,16,TIMEOUT,300.0
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (G(((!r) | (((!p) & (G(!s))))))) & (((G(((((G(r)) & (G(X(s))))) | (((((r) & (X(s)))) U (((p) & (G(!q)) & (G(((p) | (G(!q)))))))))))) | (((((((G(r)) & (G(X(s))))) | (((((r) & (X(s)))) U (((p) & (G(!q)) & (G(((p) | (G(!q))))))))))) U (G(F(((r) & (p)))))))))),#r#s#p#q,16,UNSAT,0.03
all,(G(!p2|Fp3)&(F(p0&p1)|F(p0&p2))&G(p1|!p3)&G(!p0|(!p2&G!p1))),#r#s#p#q,17,UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && (((<>(((r) && (s)))) || (<>(((r) && (p)))))) && ([](((!p) || (<>(q))))) && ([](((!r) || (((!p) && ([](!s)))))))),#r#s#p#q,17,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (((F(((r) & (s)))) | (F(((r) & (p)))))) & (G(((!p) | (F(q))))) & (G(((!r) | (((!p) & (G(!s)))))))),#r#s#p#q,17,UNSAT,0.03
all,((F(p0&Fp3)|F(p2&G!p3))&G(!p2|Fp3)&G(p1|!p3)&G(!p0|(!p2&G!p1))),#r#s#p#q,18,UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((<>(((r) && (<>(q))))) || (<>(((p) && ([](!q))))))) && ([](((!r) || (((!p) && ([](!s)))))))),#r#s#p#q,18,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((F(((r) & (F(q))))) | (F(((p) & (G(!q))))))) & (G(((!r) | (((!p) & (G(!s)))))))),#r#s#p#q,18,UNSAT,0.03
all,(G(!p2|Fp3)&G(p1|!p3)&G(!p0|(!p2&G!p1))&(X(p2&G!p3)|F(p0&Fp1))),#r#s#p#q,19,UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((<>(((r) && (<>(s))))) || (X(((p) && ([](!q))))))) && ([](((!r) || (((!p) && ([](!s)))))))),#r#s#p#q,19,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((F(((r) & (F(s))))) | (X(((p) & (G(!q))))))) & (G(((!r) | (((!p) & (G(!s)))))))),#r#s#p#q,19,UNSAT,0.03
all,(G(!p2|Fp3)&(F(p0&Fp1)|(p2&G!p3))&G(p1|!p3)&G(!p0|(!p2&G!p1))),#r#s#p#q,20,UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((((p) && ([](!q)))) || (<>(((r) && (<>(s))))))) && ([](((!r) || (((!p) && ([](!s)))))))),#r#s#p#q,20,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((((p) & (G(!q)))) | (F(((r) & (F(s))))))) & (G(((!r) | (((!p) & (G(!s)))))))),#r#s#p#q,20,UNSAT,0.03
all,(G(!p2|Fp3)&((p0&Fp1)|F(p2&G!p3))&G(p1|!p3)&G(!p0|(!p2&G!p1))),#r#s#p#q,21,UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((((r) && (<>(s)))) || (<>(((p) && ([](!q))))))) && ([](((!r) || (((!p) && ([](!s)))))))),#r#s#p#q,21,UNSAT,0.03
