tool,formula,variables,formula_id,output,time
SPIN_v651,(([](((!q) || (s)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q))))) && (((((<>(((p) && ([](!q))))) U (((p) && ([](!q)))))) || (((r) && ([](<>(((p) && (<>(q))))))))))),#p#q#r#s,12,SAT,0.03
NUSMV_v260,((G(((!q) | (s)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q))))) & (((((F(((p) & (G(!q))))) U (((p) & (G(!q)))))) | (((r) & (G(F(((p) & (F(q))))))))))),#p#q#r#s,12,SAT,0.03
all,(G(G!p3|!p2)&G(p3|!p1)&((GFp0&p2)WF(Fp3&p2))&G(p3|!p0|Fp1)),#p#q#r#s,13,UNSAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q))))) && ((((([](r)) && ([](<>(p))))) || (<>(((r) && (<>(s)))))))),#p#q#r#s,13,UNSAT,0.03
NUSMV_v260,((G(((!q) | (s)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q))))) & (((((G(r)) & (G(F(p))))) | (F(((r) & (F(s)))))))),#p#q#r#s,13,UNSAT,0.03
all,(G(p3|!p0|Fp1)&G(p3|!p1)&p2&(Fp0|Fp1)&G(G!p3|!p2)),#p#q#r#s,14,UNSAT,no-time
SPIN_v651,((r) && (((<>(p)) || (<>(q)))) && ([](((!q) || (s)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q)))))),#p#q#r#s,14,UNSAT,0.03
NUSMV_v260,((r) & (((F(p)) | (F(q)))) & (G(((!q) | (s)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q)))))),#p#q#r#s,14,UNSAT,0.03
all,(G(G!p3|!p2)&G(p3|!p1)&(X(Fp3&p2)|F(G!p1&p0))&G(p3|!p0|Fp1)),#p#q#r#s,15,SAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q))))) && (((<>(((p) && ([](!q))))) || (X(((r) && (<>(s)))))))),#p#q#r#s,15,SAT,0.03
NUSMV_v260,((G(((!q) | (s)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q))))) & (((F(((p) & (G(!q))))) | (X(((r) & (F(s)))))))),#p#q#r#s,15,SAT,0.03
all,(G(G!p3|!p2)&G(p3|!p1)&(F(G!p1&p0)|(Fp3&p2))&G(p3|!p0|Fp1)),#p#q#r#s,16,SAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q))))) && (((((r) && (<>(s)))) || (<>(((p) && ([](!q)))))))),#p#q#r#s,16,SAT,0.03
NUSMV_v260,((G(((!q) | (s)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q))))) & (((((r) & (F(s)))) | (F(((p) & (G(!q)))))))),#p#q#r#s,16,SAT,0.03
all,(G(G!p3|!p2)&((Gp0&G!p1)|F(Fp3&p2))&G(p3|!p1)&G(p3|!p0|Fp1)),#p#q#r#s,17,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q))))) && ((((([](p)) && ([](!q)))) || (<>(((r) && (<>(s)))))))),#p#q#r#s,17,UNSAT,0.03
NUSMV_v260,((G(((!q) | (s)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q))))) & (((((G(p)) & (G(!q)))) | (F(((r) & (F(s)))))))),#p#q#r#s,17,SAT,0.03
all,(G(G!p3|!p2)&(F(Gp0&GX!p1)|F(G!p1&p0)|FX(Xp3&p2))&G(p3|!p1)&G(p3|!p0|Fp1)),#p#q#r#s,18,SAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q))))) && (((<>(((p) && ([](!q))))) || (<>((([](p)) && ([](X(!q)))))) || (<>(X(((r) && (X(s))))))))),#p#q#r#s,18,SAT,0.03
NUSMV_v260,((G(((!q) | (s)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q))))) & (((F(((p) & (G(!q))))) | (F(((G(p)) & (G(X(!q)))))) | (F(X(((r) & (X(s))))))))),#p#q#r#s,18,SAT,0.03
all,(G(G!p3|!p2)&G(p3|!p1)&(F(Fp3&p2)WF(G!p1&p0))&G(p3|!p0|Fp1)),#p#q#r#s,19,DIFF,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q))))) && (((<>(((p) && ([](!q))))) || ([](<>(((r) && (<>(s))))))))),#p#q#r#s,19,TIMEOUT,300.0
NUSMV_v260,((G(((!q) | (s)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q))))) & (((F(((p) & (G(!q))))) | (G(F(((r) & (F(s))))))))),#p#q#r#s,19,SAT,0.03
all,(G(G!p3|!p2)&(F(p2&Fp0)WF(G!p1&p0))&G(p3|!p1)&G(p3|!p0|Fp1)),#p#q#r#s,20,DIFF,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q))))) && (((<>(((p) && ([](!q))))) || ([](<>(((r) && (<>(p))))))))),#p#q#r#s,20,TIMEOUT,300.0
NUSMV_v260,((G(((!q) | (s)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q))))) & (((F(((p) & (G(!q))))) | (G(F(((r) & (F(p))))))))),#p#q#r#s,20,SAT,0.03
all,(G(G!p3|!p2)&((p2&Fp0)|F(p2&Gp3))&G(p3|!p1)&G(p3|!p0|Fp1)),#p#q#r#s,21,UNSAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q))))) && (((((r) && (<>(p)))) || (<>(((r) && ([](s)))))))),#p#q#r#s,21,UNSAT,0.03
NUSMV_v260,((G(((!q) | (s)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q))))) & (((((r) & (F(p)))) | (F(((r) & (G(s)))))))),#p#q#r#s,21,UNSAT,0.03
all,(G(G!p3|!p2)&(F(p3&p2)W(!p1&p0&p2))&G(p3|!p1)&G(p3|!p0|Fp1)),#p#q#r#s,22,UNSAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q))))) && ((([](<>(((r) && (s))))) || (((<>(((r) && (s)))) U (((p) && (!q) && (r)))))))),#p#q#r#s,22,UNSAT,0.03
NUSMV_v260,((G(((!q) | (s)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q))))) & (((G(F(((r) & (s))))) | (((F(((r) & (s)))) U (((p) & (!q) & (r)))))))),#p#q#r#s,22,UNSAT,0.03
all,(G(G!p3|!p2)&(F(p3&p2)|F(Gp0&p2))&G(p3|!p1)&G(p3|!p0|Fp1)),#p#q#r#s,23,UNSAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q))))) && (((<>(((r) && (s)))) || (<>(((r) && ([](p)))))))),#p#q#r#s,23,UNSAT,0.03
NUSMV_v260,((G(((!q) | (s)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q))))) & (((F(((r) & (s)))) | (F(((r) & (G(p)))))))),#p#q#r#s,23,UNSAT,0.03
all,(G(G!p3|!p2)&((!p0&p1&p2)|(G!p1&p0))&G(p3|!p1)&G(p3|!p0|Fp1)),#p#q#r#s,24,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((!q) || (s)))) && (((((!p) && (q) && (r))) || (((p) && ([](!q)))))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q)))))),#p#q#r#s,24,UNSAT,0.03
NUSMV_v260,((G(((!q) | (s)))) & (((((!p) & (q) & (r))) | (((p) & (G(!q)))))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q)))))),#p#q#r#s,24,SAT,0.02
all,(G(G!p3|!p2)&G((p2&Fp1)|X(Gp0&G!p1))&G(p3|!p1)&G(p3|!p0|Fp1)),#p#q#r#s,25,SAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q))))) && ([](((((r) && (<>(q)))) || (X((([](p)) && ([](!q))))))))),#p#q#r#s,25,SAT,0.02
NUSMV_v260,((G(((!q) | (s)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q))))) & (G(((((r) & (F(q)))) | (X(((G(p)) & (G(!q))))))))),#p#q#r#s,25,SAT,0.02
all,(G(G!p3|!p2)&G(p3|!p1)&(X(G!p1&p0)|F(p3&p2))&G(p3|!p0|Fp1)),#p#q#r#s,26,SAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q))))) && (((<>(((r) && (s)))) || (X(((p) && ([](!q)))))))),#p#q#r#s,26,SAT,0.02
NUSMV_v260,((G(((!q) | (s)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q))))) & (((F(((r) & (s)))) | (X(((p) & (G(!q)))))))),#p#q#r#s,26,SAT,0.02
all,(G(G!p3|!p2)&X((p2&p1)W(Gp0&G!p1))&G(p3|!p1)&G(p3|!p0|Fp1)),#p#q#r#s,27,SAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q))))) && (X((((([](q)) && ([](r)))) || (((((q) && (r))) U ((([](p)) && ([](!q)))))))))),#p#q#r#s,27,SAT,0.02
NUSMV_v260,((G(((!q) | (s)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q))))) & (X(((((G(q)) & (G(r)))) | (((((q) & (r))) U (((G(p)) & (G(!q)))))))))),#p#q#r#s,27,SAT,0.02
